day  슬롯  이름         유형                vc  변형대상   정상             불량
------------------------------------------------------------------------------------------
  1   5  박철수        진상 고객            0.7  여권     여권 유효          여권 만료일
  1   7  최서연        일반 고객            0.7  여권     여권 유효          여권 생년월일
  2   2  한만수        진상 고객           0.75  여권     여권 유효          여권 만료일
  2   4  송하늘        일반 고객           0.85  여권     여권 유효          여권 만료일
  2   6  다나카 하루토    외국인 관광객          0.5  여권     여권 유효          여권 사진
  3   4  배수정        진상 고객           0.75  여권     여권 유효          여권 만료일
  4   1  박하준        진상 고객           0.75  여권     여권 유효          여권 만료일
  4   4  노가은        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
  4   5  정시우        진상 고객           0.75  여권     여권 유효          여권 만료일
  5   1  조지호        진상 고객           0.75  여권     여권 유효          여권 만료일
  5   4  윤건우        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
  6   2  오은우        진상 고객           0.75  여권     여권 유효          여권 생년월일
  6   6  다니엘 테일러    외국인 관광객          0.5  여권     여권 유효          여권 사진
  7   2  신유준        진상 고객           0.75  여권     여권 유효          여권 만료일
  7   7  서지호        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
  8   2  송재윤        진상 고객           0.75  여권     여권 유효          여권 만료일
  8   7  전도현        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
  9   1  홍성민        진상 고객           0.75  여권     여권 유효          여권 생년월일
  9   5  이지우        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
 10   2  최수아        진상 고객           0.75  여권     여권 유효          여권 만료일
 10   3  정다은        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
 10   6  강예린        진상 고객           0.75  여권     여권 유효          여권 만료일
 11   4  윤채원        진상 고객           0.75  여권     여권 유효          여권 만료일
 11   5  장소율        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
 12   4  오나은        진상 고객           0.75  여권     여권 유효          여권 만료일
 12   5  서하린        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
 13   5  황민서        진상 고객           0.75  여권     여권 유효          여권 만료일
 13   6  배은서        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)
 14   5  양수빈        성형 수술 고객         0.7  지문     본인(지문 일치)      도용(지문 불일치)

총 29명
